fullname,hand,ioc,ht,sex
Daria Gavrilova,R,AUS,166,F
Stefanie Voegele,R,SUI,170,F
Lauren Davis,R,USA,157,F
Magda Linette,R,POL,171,F
Jessica Pegula,R,USA,170,F
Kaia Kanepi,R,EST,181,F
Mona Barthel,R,GER,185,F
Alison Van Uytvanck,R,BEL,173,F
Kirsten Flipkens,R,BEL,165,F
Kristina Mladenovic,R,FRA,184,F
Jelena Ostapenko,R,LAT,177,F
Julia Goerges,R,GER,180,F
Salvatore Caruso,R,ITA,185,M
Jc Aragone,R,USA,,M
J.J. Wolf,R,USA,,M
Christian Harrison,R,USA,,M
Yanina Wickmayer,R,BEL,182,F
Nao Hibino,R,JPN,163,F
Sorana Cirstea,R,ROU,176,F
Anna Blinkova,R,RUS,,F
Caty Mcnally,R,USA,,F
Dalila Jakupovic,R,SLO,,F
Vera Zvonareva,R,RUS,172,F
Sara Errani,R,ITA,164,F
Sara Sorribes Tormo,R,ESP,,F
Janko Tipsarevic,R,SRB,180,M
Mischa Zverev,L,GER,190,M
Alexander Bublik,R,KAZ,196,M
Pablo Andujar,R,ESP,180,M
Taylor Townsend,L,USA,,F
Cori Gauff,R,USA,175,F
Whitney Osuigwe,R,USA,,F
Ons Jabeur,R,TUN,167,F
Pauline Parmentier,R,FRA,175,F
Magdalena Rybarikova,R,SVK,180,F
Monica Niculescu,R,ROU,168,F
Alison Riske,R,USA,173,F
Polona Hercog,R,SLO,182,F
Darya Kasatkina,R,RUS,170,F
Jay Clarke,R,GBR,,M
Mikael Ymer,R,SWE,183,M
Arantxa Rus,L,NED,180,F
Daniel Elahi Galan,R,COL,191,M
Santiago Giraldo,R,COL,188,M
Roberto Quiroz,L,ECU,,M
Elliot Benchetrit,R,FRA,,M
Evgeny Karlovskiy,R,RUS,,M
Julian Ocleppo,R,ITA,,M
Pedro Sousa,R,POR,180,M
Attila Balazs,R,HUN,180,M
Jannik Sinner,R,ITA,188,M
Richard Gasquet,R,FRA,185,M
Svetlana Kuznetsova,R,RUS,174,F
Anna Karolina Schmiedlova,R,SVK,,F
Dominika Cibulkova,R,SVK,161,F
Cristiana Ferrando,R,ITA,,F
Bernabe Zapata Miralles,R,ESP,,M
Kaichi Uchida,R,JPN,,M
Tristan Lamasine,R,FRA,,M
Steven Diez,R,CAN,,M
Shelby Rogers,R,USA,175,F
Diane Parry,R,FRA,,F
Kristina Kucova,R,SVK,,F
Mathias Bourgue,R,FRA,,M
Nikola Milojevic,R,SRB,188,M
Enzo Couacaud,R,FRA,,M
Arthur De Greef,R,BEL,,M
Facundo Arguello,R,ARG,,M
Johan Sebastien Tatlot,,FRA,,M
Thiemo De Bakker,R,NED,193,M
Uladzimir Ignatik,R,BLR,,M
Hugo Gaston,L,FRA,,M
Antoine Cornut Chauvinc,,FRA,,M
Lucas Miedler,R,AUT,,M
Mikael Torpegaard,R,DEN,,M
Adam Pavlasek,R,CZE,,M
Geoffrey Blancaneaux,R,FRA,,M
Matteo Martineau,,FRA,,M
Manuel Guinard,,FRA,,M
Nino Serdarusic,,CRO,,M
Corentin Denolly,L,FRA,,M
Alexandre Muller,R,FRA,,M
Jason Kubler,R,AUS,,M
Yannick Hanfmann,R,GER,193,M
Gianluca Mager,R,ITA,185,M
Katie Swan,R,GBR,170,F
Tamara Korpatsch,R,GER,,F
Ana Bogdan,R,ROU,,F
Heather Watson,R,GBR,170,F
Romina Oprandi,R,SUI,,F
Francesca Di Lorenzo,L,USA,,F
Giulia Gatto Monticone,R,ITA,,F
Ekaterine Gorgodze,L,GEO,,F
Katarina Zavatska,R,UKR,,F
Elsa Jacquemot,R,FRA,,F
Georgina Garcia Perez,,ESP,,F
Olga Danilovic,L,SRB,,F
Greetje Minnen,R,BEL,,F
Kathinka Von Deichmann,R,LIE,,F
Julia Glushko,R,ISR,,F
Robin Anderson,R,USA,,F
Ayano Shimizu,,JPN,,F
Jasmine Paolini,R,ITA,,F
Rebecca Sramkova,R,SVK,,F
Rebecca Marino,R,CAN,,F
Elena Rybakina,R,KAZ,184,F
Marina Melnikova,R,RUS,,F
Fiona Ferro,R,FRA,170,F
Viktor Galovic,R,ITA,,M
Matteo Viola,R,ITA,,M
Altug Celikbilek,,TUR,,M
Kevin Krawietz,R,GER,190,M
Marc Andrea Huesler,L,SUI,,M
Goncalo Oliveira,L,POR,,M
Carlos Gomez Herrera,R,ESP,,M
Roberto Ortega Olmedo,,ESP,,M
Anna Lena Friedsam,R,GER,,F
Paul Jubb,R,GBR,,M
Andrew Harris,R,AUS,,M
Norbert Gombos,R,SVK,193,M
Soon Woo Kwon,R,KOR,180,M
John Patrick Smith,L,AUS,,M
Blaz Kavcic,R,SLO,188,M
Illya Marchenko,R,UKR,185,M
James Duckworth,R,AUS,183,M
Liam Broady,L,GBR,,M
Dennis Novak,R,AUT,,M
Akira Santillan,R,AUS,,M
Valentyna Ivakhnenko,R,UKR,,F
En Shuo Liang,,TPE,,F
Martina Di Giuseppe,,ITA,,F
Arina Rodionova,R,RUS,,F
Basak Eraydin,R,TUR,,F
Isabella Shinikova,R,BUL,,F
Jana Cepelova,R,SVK,168,F
Cristina Bucsa,,MDA,,F
Samantha Murray,R,GBR,,F
Fangzhou Liu,R,CHN,,F
Oceane Dodin,R,FRA,,F
Katarzyna Kawa,R,POL,,F
Elena Gabriela Ruse,,ROU,,F
Gabriella Taylor,R,GBR,,F
Pemra Ozgen,R,TUR,,F
Lesley Kerkhove,R,NED,,F
Sabine Lisicki,R,GER,178,F
Laurynas Grigelis,R,LTU,183,M
Daniel Altmaier,R,GER,,M
Peter Torebko,R,GER,,M
Tommy Robredo,R,ESP,180,M
Kevin King,,USA,,M
Cedrik Marcel Stebe,L,GER,183,M
Gian Marco Moroni,R,ITA,,M
Julian Lenz,R,GER,,M
Sumit Nagal,R,IND,,M
Jozef Kovalik,R,SVK,,M
Sandro Kopp,,AUT,,M
Danilo Petrovic,R,SRB,,M
Jacob Grills,,AUS,,M
Hailey Baptiste,R,USA,,F
Varvara Gracheva,R,RUS,,F
Thai Son Kwiatkowski,R,USA,,M
Hiroko Kuwata,R,JPN,,F
Bethanie Mattek Sands,R,USA,168,F
Duck Hee Lee,R,KOR,,M
Daniel Nguyen,,USA,,M
Raymond Sarmiento,R,USA,,M
Borna Gojo,R,CRO,,M
Petros Chrysochos,R,CYP,,M
Strong Kirchheimer,,USA,,M
Jenson Brooksby,R,USA,,M
Vasek Pospisil,R,CAN,193,M
Mariam Bolkvadze,L,GEO,,F
Shuai Peng,R,CHN,173,F
Zdenek Kolar,R,CZE,,M
Joao Menezes,R,BRA,,M
Mario Vilella Martinez,R,ESP,,M
Maddison Inglis,R,AUS,171,F
Quirine Lemoine,L,NED,,F
Jaimee Fourlis,R,AUS,,F
Jovana Jaksic,R,SRB,,F
Ellen Perez,L,AUS,,F
Na Lae Han,L,KOR,,F
Denisa Allertova,R,CZE,,F
Katharina Hobgarski,R,GER,,F
Lara Arruabarrena,R,ESP,166,F
Valeria Savinykh,R,RUS,,F
Veronica Cepede Royg,R,PAR,,F
Nina Stojanovic,R,SRB,,F
Xin Yu Wang,R,CHN,182,F
