fullname,hand,ioc,ht,sex
Tali Malykhin,,ISR,,F
Tali Krasnopolski,R,ISR,,F
Flaminia Scara,,ITA,,F
Alessia Tagliente,,ITA,,F
Martina Muzzolon,,ITA,,F
Matilde Paoletti,R,ITA,,F
Beatrice Ricci,,ITA,,F
Sofia Rocchetti,R,ITA,,F
Rubina Marta De Ponti,,ITA,,F
Anita Bertoloni,R,ITA,,F
Virginia Ciccone,,ITA,,F
Alessandra Pezzulla,,ITA,,F
Sophie Walzl,,ITA,,F
Anja Wildgruber,,GER,,F
Chiara Girelli,,ITA,,F
Maria Nuova Covato,,ITA,,F
Desideria Damico,,ITA,,F
Silvia Mattiolo,,ITA,,F
Fabrizia Cambria,,ITA,,F
Carola Cavelli,R,ITA,,F
Anoushka Wooller,,GBR,,F
Darya Lavrichenko,R,RUS,,F
Martina Forcisi,,ITA,,F
Emma Davis,R,USA,,F
Alina Shcherbinina,,RUS,,F
Giulia Martinelli,R,ITA,,F
Arina Atyushova,,RUS,,F
Ayumi Hirata,,JPN,,F
Asuka Yoshida,,JPN,,F
Erika Matsuda,,JPN,,F
Shiori Ito,,JPN,,F
Jiho Shin,,KOR,,F
Mako Ganaha,,JPN,,F
Nanami Saito,,JPN,,F
Mua Shigeta,,JPN,,F
Haruka Tominaga,R,JPN,,F
Miyu Nakashima,,JPN,,F
Mai Kandori,,JPN,,F
Nao Shimoji,,JPN,,F
Stefanya Shalakhova,,KAZ,,F
Mariia Tkacheva,,RUS,,F
Ekaterina Maklakova,R,RUS,,F
Nina Rudiukova,,RUS,,F
Sofiya Chursina,,KAZ,,F
Ekaterina Nikiforova,R,RUS,,F
Constanze Stepan,,GER,,F
Darya Gaifullina,R,RUS,,F
Maryia Novikava,,BLR,,F
Milana Maslenkova,,UZB,,F
Adel Ismagulova,,KAZ,,F
Vladislava Petrovskaia,,RUS,,F
Nasiba Espolova,,UZB,,F
Gulsina Khalimullina,,UZB,,F
Tatyana Nikolenko,,KAZ,,F
Kristina Mayer,,UZB,,F
Shakhzoda Asimova,,RUS,,F
Zhanel Rustemova,,KAZ,,F
Diyora Alzhanova,,KAZ,,F
Kamilia Shailina,,KAZ,,F
Alisa Kummel,R,RUS,,F
Sofia Sokhetskaya,,KAZ,,F
Judith Muraa,,KEN,,F
Angella Okutoyi,,KEN,,F
Faith Nyabera Omurunga,,KEN,,F
Mariana Borges,,BRA,,F
Cynthia Wanjala,,KEN,,F
Eunji Lim,,KOR,,F
Eunyeong Park,,KOR,,F
Seohyeon Kim,,KOR,,F
Yeon Woo Ku,,KOR,,F
Eunseo Yun,,KOR,,F
Ryeong Gyeong Park,,KOR,,F
Sihyeong Cho,,KOR,,F
Heejin Han,,KOR,,F
Dami Lee,,KOR,,F
Mijeong Park,,KOR,,F
So Hee Yoon,,KOR,,F
Mi Jin Kim,,KOR,,F
Hyeran Yun,,KOR,,F
Sol Hee Sim,R,KOR,,F
Sun Bin Kim,,KOR,,F
Na Hyun Kang,,KOR,,F
Hyeri Kim,,KOR,,F
Eunji Oh,R,UNK,,F
Ji Young Seo,,KOR,,F
Hee Rae Im,,KOR,,F
Yubean Lee,,KOR,,F
Sarah Mueller,,GER,,F
Lea Ma,,USA,,F
Alexandra Mikhailuk,,CAN,,F
Ana Maria Andreea Ileana,,CAN,,F
Katya Ramirez,,MEX,,F
Stephanie Kent,,USA,,F
Maxi Duncan,,USA,,F
Isabella Kruger,R,RSA,,F
Bryn Johnson,,USA,,F
Marian Gomez Pezuela Cano,,MEX,,F
Rebecca Lynn,,USA,,F
Julia Garcia,L,MEX,,F
Eleonore Tchakarova,R,BUL,,F
Romary Cardenas Rifka,,MEX,,F
Alexis Keberle,,USA,,F
Payton Andrews,,USA,,F
Alisia Stephanie Manolescu,,CAN,,F
Jennifer Gadalov,,USA,,F
Brianna Tulloch,,USA,,F
Fernanda Castillo Huerta,,MEX,,F
Jessica Hinojosa Gomez,,MEX,,F
Marne Dercksen,,RSA,,F
Camille Townsend,R,USA,,F
Yu Chen,,UNK,,F
Alyssa Tobita,R,USA,,F
Katya Townsend,R,USA,,F
Julia Jordan,,USA,,F
Renata Castillo,,MEX,,F
Kennedy Bridgforth,R,USA,,F
Shria Atturu,,USA,,F
Barbora Vykydalova,,CZE,,F
Gianna Pielet,,USA,,F
Amanda Carolina Nava Elkin,,MEX,,F
Sara Kelly,,USA,,F
Lilian Poling,,USA,,F
Leolia Jeanjean,R,FRA,,F
Rianna Valdes,R,USA,,F
Maria Kozyreva,,RUS,,F
Danielle Willson,,USA,,F
Anastasia Sysoeva,,RUS,,F
Angela Kulikov,,USA,,F
Asuka Kawai,,JPN,,F
Adriana Reami,R,USA,,F
Lorelyz Marruffo,,VEN,,F
Moka Ito,R,JPN,,F
Anna Sinclair Rogers,,USA,,F
Jaleesa Leslie,,USA,,F
Elizaveta Koklina,,RUS,,F
Madison Appel,R,USA,,F
Jwany Sherif,R,USA,,F
Dylan Cline,,USA,,F
Nicolle Andrea Gomez Romero,,COL,,F
Angela Bonilla,R,COL,,F
Muskan Mahajan,R,USA,,F
Jami Marie Burt,,USA,,F
Katarina Kozarov,,SRB,,F
Natalie Johnson,,USA,,F
Myrna Olaya,,USA,,F
Misa Malkin,,USA,,F
Lucianna Piedra,,MEX,,F
Arisha Ladhani,,CAN,,F
Alexandra Anttila,R,FIN,,F
Karla Portalatin,,DOM,,F
Maria Fernanda Martinez Hernandez,,MEX,,F
Tea Jandric,,CRO,,F
Rachel Gailis,R,USA,,F
Taylor Ng,,USA,,F
Leyden Games,,USA,,F
Sofia Matiushova,R,RUS,,F
Vanessa Ong,R,USA,,F
Marie Lou Faoro,R,FRA,,F
Malaika Rapolu,,USA,,F
Nicole Poj,,ARG,,F
Sophia Hatton,,USA,,F
Emma Van Poppel,,NED,,F
Elan Mnatsakanov,,USA,,F
Maya Pitts,,USA,,F
Mio Mushika,,JPN,,F
Martyna Ostrzygalo,,CAN,,F
Misha Berry,,USA,,F
Patience Monroe,R,USA,,F
Maria Jimena Krite Castellanos,,MEX,,F
Gala Arangio,,MEX,,F
Dakota Fordham,,USA,,F
Bente Spee,,NED,,F
Jasmijn Gimbrere,R,NED,,F
Anouk Koevermans,R,NED,,F
Elysia Pool,,NED,,F
Lene Mari Bolkesjo Hovda,,NOR,,F
Luisa Meyer Auf Der Heide,,GER,,F
Annelou Nab,,NED,,F
Diane Flament,,FRA,,F
Aanu Ayegbusi,,NGR,,F
Osariemen Airhunmwunde,,NGR,,F
Sarah Adegoke,,NGR,,F
Blessing Samuel,,NGR,,F
Omolade Aderemi,,NGR,,F
Feryel Ben Hassen,R,TUN,,F
Patience Onebamhoin,R,NGR,,F
Sabath Ibrahim,,NGR,,F
Ozi Oiza Josephine Yakubu,L,NGR,,F
Ronke Akingbade,R,NGR,,F
Beatrice Henriette Faureng,,NOR,,F
Dorthea Faa Hviding,,NOR,,F
Vivien Sandberg,,GER,,F
Ine Soltveit Stange,,NOR,,F
Katie Morton,,GBR,,F
Aleksandra Julia Jelen,R,POL,,F
Matilda Lenngren,,SWE,,F
Katja Wiersholm,,USA,,F
Hannah Viller Moller,,DEN,,F
Valeria Lloclla,,PER,,F
Valeria Castro,,PER,,F
Alessia Martinez,,PER,,F
Micaela Ode,,PER,,F
Michela Montori Rodriguez,,PER,,F
Manuela Zegarra Ballon,,PER,,F
Camila Soares,,PER,,F
Samantha Echevarria,,PER,,F
Daniela Rubio,,PER,,F
Gia Posito,,PER,,F
Aditi Sinha,,USA,,F
Valeria Vinces,,PER,,F
Emma Zakordoniec,,POL,,F
Ema Bolebruchova,R,SVK,,F
Magdalena Hedrzak,,POL,,F
Saisha Khanna,,IND,,F
Ines Oliveira,R,POR,,F
Rita Maria Bentes De Oliveira Pinto,R,POR,,F
Elizabet Hamaliy,,UKR,,F
Beatriz Neves,,POR,,F
Luisa Pelayo,R,POR,,F
Angele Devaux,R,FRA,,F
Emma Mazzoni,,FRA,,F
Carolina Caetano Reis,,POR,,F
Carmen Gallardo Guevara,,ESP,,F
Barbara Balancho,,POR,,F
Sashi Kempster,R,GBR,,F
Carolina Likhatcheva,,POR,,F
Ruth Copas,,IRL,,F
Vanessa Langes,,GER,,F
Matilde Morais,,POR,,F
Matilde Jorge,,POR,,F
Iulia Marko,,ROU,,F
Alexandra Iordache,R,ROU,,F
Iulia Savescu,,ROU,,F
Maria Alexia Gandac,,ROU,,F
Bianca Maria Dascalu,,ROU,,F
Ivonne Juric,,GER,,F
Raluca Maria Tudorache,,ROU,,F
Isabela Ioana Dima,,ROU,,F
Andreea Elena Iordachi,,ROU,,F
Ioana Alexandra Negoitescu,,ROU,,F
Ana Maria Gabriela Taranu,,ROU,,F
Andra Cristina Captan,,ROU,,F
Iulia Vlaiculescu,,ROU,,F
Maria Alexandra Medeea Popescu,,ROU,,F
Isha Budwal,,IND,,F
Alexandra Raluca Botin,,ROU,,F
Denisa Elena Plesa,,ROU,,F
Oana Irimescu,L,ROU,,F
Lorena Maria Danaila,,ROU,,F
Tania Munteanu,,ROU,,F
Mikayla Faure,L,RSA,,F
Lauren Cooper,,USA,,F
Amy Bloch,,RSA,,F
Maxima Ellenberg,,GER,,F
Nicole Viljoen,,RSA,,F
Rapelang Danielle Sebata,R,GBR,,F
Ntokozo Zungu,,RSA,,F
Cayline Le Grange,,RSA,,F
Amonette Theron,,RSA,,F
Georgia Hosking,R,RSA,,F
Ksenia Khlynova,R,RUS,,F
Kristina Kudryavtseva,,RUS,,F
Nina Olyanovskaya,,RUS,,F
Yana Mogilnitskaya,R,RUS,,F
Elizaveta Volodko,,RUS,,F
Daria Soldatova,R,RUS,,F
Julia Valetova,R,RUS,,F
Elena Korokozidi,,RUS,,F
Kristina Volgapkina,,RUS,,F
Lynelle En Tong Lim,,SGP,,F
Janice Tjen,,INA,,F
Michelle Yeo,,SGP,,F
Beatriz Leon Hernandez,,ESP,,F
Katarina Jelusic,R,CRO,,F
Sara Paunovic,,SUI,,F
Anastassia Pantelic,R,SRB,,F
Verginie Tchakarova,R,BUL,,F
Angelina Subotic,,AUS,,F
Jelena Marjanovic,,SRB,,F
Chiara Merico,,SUI,,F
Therese Ekdahl,,SWE,,F
Maja Radenkovic,,SWE,,F
Victoria Carlsten,,SWE,,F
Smilla Kjaergaard,,SWE,,F
Agnes Gustafsson,R,SWE,,F
Victoria Saldh,,SWE,,F
Julia Keranovic,,SWE,,F
Elin Vilen,,SWE,,F
Olivia Malm,,SWE,,F
Wilma Bergqvist,,SWE,,F
Marta Louise Soederberg,,SWE,,F
Sara Dahlstrom,,SWE,,F
Louise Wikander,R,SWE,,F
Martina Petrovic,,SWE,,F
Johanna Strom,,SWE,,F
Erika Andreeva,R,RUS,,F
Nalu Himeno,,JPN,,F
Nadia Ravita,,INA,,F
Mariya Polishchuk,R,RUS,,F
Rada Manataweewat,R,THA,,F
Mai Napatt Nirundorn,,THA,,F
Vera Deepoem,,THA,,F
Honoka Uchiyama,,JPN,,F
Juliette Daries,R,FRA,,F
Lunda Kumhom,,THA,,F
Warisara Lee,,THA,,F
Nadezda Khalturina,R,RUS,,F
Chhinda Som,R,CAM,,F
Ke Syuan Jhang,,TPE,,F
Iris Julia Antje Verweij,,NED,,F
Amy Kaplan,,USA,,F
Olga Brozda,,POL,,F
Anna Korzeniak,R,POL,,F
Epiphany B Turner,,USA,,F
Emerald Able,L,USA,,F
Ruxandra Schech,L,GER,,F
Isabella Tiscornia,,URU,,F
Valentina Giavazzi,,ITA,,F
Nagomi Higashitani,R,JPN,,F
Anna Ustinoff,,KAZ,,F
Teodora Djordjevic,R,ITA,,F
Elena Covi,,ITA,,F
Leila Epstein,,USA,,F
Francesca Covi,,ITA,,F
Syria La Cerra,R,ITA,,F
Prathyusha Rachapudi,R,IND,,F
Estella Jaeger,,GER,,F
Sarina Kang,,AUS,,F
Eleanor Baglow,L,GBR,,F
Greta Medeghini,,ITA,,F
Elizabeth Danailova,,BUL,,F
Francesca Rumi,,ITA,,F
Giuliana Bestetti,R,ITA,,F
Carlotta Gabrielli,,ITA,,F
Chiara Alesiani,,ITA,,F
Anna Khudoley,,RUS,,F
Ginevra Peiretti,R,ITA,,F
Yassamine Boudjadi,,ALG,,F
Eleonora Canovi,,ITA,,F
Valentina Gaggini,,ITA,,F
Ferdaous Bahri,R,TUN,,F
Asya Colombo,,ITA,,F
Antonia Schmidt,,GER,,F
Shreya Tatavarthy,,IND,,F
Annika Kannan,R,IND,,F
Karoline Laursen,,DEN,,F
Oceane Babel,,FRA,,F
Matilde Mariani,L,ITA,,F
Julie Belgraver,,FRA,,F
Roberta Lodi Pasini,,ITA,,F
Sara Ziodato,,ITA,,F
Helena Verbeeck,R,BEL,,F
Hanine Boudjadi,,ALG,,F
Sveva Mazzari,,ITA,,F
Lara Kaiser,,AUT,,F
Giuseppina Miccio,,ITA,,F
Camilla Zanolini,,ITA,,F
Jenifer Anger,,FRA,,F
Noesjka Brink,,NED,,F
Federica Sacco,R,ITA,,F
Matea Roki,,CAN,,F
Marika Jones,,USA,,F
Lena Delfosse,,BEL,,F
Pervinca Curci,R,ITA,,F
Irene Verzin,R,ITA,,F
Francesca Falleni,,ITA,,F
Juline Fayard,,FRA,,F
Nour Gueblaoui,,TUN,,F
Graziella Barrett,,GBR,,F
Nika Novikova,,LTU,,F
Matilda Mutavdzic,R,GBR,,F
Tea Lukic,,GER,,F
Nicole Teodosescu,,ITA,,F
Liubov Demidova,,RUS,,F
Natalia Zorgovska,,SVK,,F
Annika Chiara Rittberger,,GER,,F
Agata Bachanek,,POL,,F
Anastasiya Mulder Syrovatskaia,R,NED,,F
Xingchen Liu,,CHN,,F
Alyona Anufrenkova,,RUS,,F
Selina Atay,,TUR,,F
Tuana Tinaztepe,,TUR,,F
Margarita Ten,,RUS,,F
Michaela Niedermeier,R,GER,,F
Aysegul Mert,L,TUR,,F
Anastasia Dimitrijevic,,AUT,,F
Ozlem Uslu,R,TUR,,F
Erika Reinhardt,,GER,,F
Melis Ayda Uyar,,TUR,,F
Defne Cirpanli,R,TUR,,F
Ilayda Baykan,R,TUR,,F
Anna Laura Hinka,,UKR,,F
Maria Sara Popa,L,ROU,,F
Melisa Senli,,TUR,,F
Zeynep Erman,,TUR,,F
Diana Mascenikova,,SVK,,F
Alexandra Vasilyeva,,RUS,,F
Anna Chekanskaya,,RUS,,F
Zofia Podbiol,,POL,,F
Antonia Aragosa,R,ITA,,F
Dana Shakirova,,RUS,,F
Zuzana Pavelekova,,SVK,,F
Billur Gonlusen,,TUR,,F
Keira Jirasook,,USA,,F
Anna Lytneva,R,RUS,,F
Anastasia Kovaleva,,RUS,,F
Maria Bianca Andrei,,ROU,,F
Karyna Kachur,L,UKR,,F
Mariia Hurieva,R,UKR,,F
Lolita Gukasyan,,UKR,,F
Valeriia Cherfus,,UKR,,F
Anastasia Vorobyova,,UKR,,F
Oleksandra Kudelska,,UKR,,F
Anna Parkhomenko,,UKR,,F
Anna Syrova,,UKR,,F
Sonya Kovalenko,,UKR,,F
Mariia Hlahola,,UKR,,F
Alexandra Fedorenko,R,UKR,,F
Madeleine Brooks,,GBR,,F
Anna Pinaieva,R,UKR,,F
Kimmi Hance,R,USA,,F
Savannah Broadus,,USA,,F
Allie Will,,USA,,F
Kylie Collins,R,USA,,F
Abigail Rencheli,R,MDA,,F
Ashanti Campfield,R,USA,,F
Sybille Gauvain,,FRA,,F
Jocelijn Cavero Roeper,,NED,,F
Jaedan Brown,,USA,,F
Zoe Howard,R,USA,,F
Reese Brantmeier,R,USA,,F
Mackenzie Clark,,USA,,F
Ty Ana Williams,R,USA,,F
Elaine Chervinsky,R,USA,,F
Isabella Robbiani,R,PAR,,F
Carson Tanguilig,,USA,,F
Sonya Macavei,,USA,,F
Arijana Korac,R,SWE,,F
Eleana Yu,R,USA,,F
Hina Inoue,R,USA,,F
Jerricka Boone,,USA,,F
Kenya Jones,,USA,,F
Allie Gretkowski,,USA,,F
Eugenie Christine Ngo Gwodog,,CMR,,F
Keisha R Clousing,,USA,,F
Sophie Abrams,,USA,,F
Gracie Epps,,USA,,F
Scout Mathews,,USA,,F
Jeanette Mireles,,USA,,F
Rachel Janssen,R,USA,,F
Elizabeth Coleman,,USA,,F
Anastasia Tkachenko,R,USA,,F
Jada Hart,,USA,,F
Makenna Jones,,USA,,F
Alana Wolfberg,,USA,,F
Emma Lella,,USA,,F
Sophie Williams,,USA,,F
Zoe Hitt,R,USA,,F
Karina Miller,R,USA,,F
Anna Riedmiller,,USA,,F
Mariia Kostiuk,,UKR,,F
Carmen Roxana Manu,R,ROU,,F
Fiona Crawley,,USA,,F
Kendra Bunch,L,USA,,F
Calissa Dellabarca,,USA,,F
Kaheaokaleonahenahemaikalani Companion,R,USA,,F
Ella Faessler,,USA,,F
Zaina Nait Omar,R,USA,,F
Carly Briggs,,USA,,F
Lara Schneider,,USA,,F
Elizabeth Stevens,,USA,,F
Mirabelle Brettkelly,,USA,,F
Martha Matoula,R,GRE,,F
Brooke Killingsworth,,USA,,F
Kailey Evans,,USA,,F
Lillian Gabrielsen,,NOR,,F
Ema Turudija,,SRB,,F
Skyler Marie Grace Grishuk,,USA,,F
Midori Castillo Meza,,USA,,F
Bridget Stammel,,USA,,F
Enya Ratkic,,USA,,F
Hadley Doyle,,USA,,F
Liga Dekmeijere,R,LAT,,F
Cydnee Wilkinson,,USA,,F
Brooke Thompson,,USA,,F
Valentina Shleyn,,UZB,,F
Muslima Akhunova,,UZB,,F
Shakhnoza Khatamova,,UZB,,F
Sofia Cristina Taborga Rollano,,BOL,,F
Masha Alexandra Vrsalovic Gimenez,,BOL,,F
Maria Olivia Castedo,,BOL,,F
Mariajose Hernandez Coronado,,GUA,,F
Christian Sigsgaard,R,DEN,,M
Benjamin Hannestad,R,DEN,,M
Miguel Angel Este,,VEN,,M
Sebastian Arcila,,PUR,,M
Ignacio Garcia,,PUR,,M
Harshana Godamanna,L,SRI,,M
Mohd Assri Merzuki,R,MAS,,M
Liang Chi Huang,R,TPE,,M
Thien Nguyen Hoang,R,VIE,,M
Jarkko Nieminen,L,FIN,185,M
Rohan Bopanna,R,IND,190,M
Marc Lopez,R,ESP,175,M
Ayed Zatar,R,PAR,,M
Bruno Britez,,PAR,,M
Rodrigo Banzer,R,BOL,,M
George Tsivadze,,GEO,,M
Mohammad Ghareeb,R,KUW,,M
Antso Rakotondramanga,,MAD,,M
Jean Jacques Rakotohasy,,MAD,,M
Thomas Oger,,MON,,M
Simen Sunde Bratholm,R,NOR,,M
Hamid Reza Nadaf,R,IRI,,M
Shahin Khaledan,R,IRI,,M
Karan Rastogi,R,IND,178,M
August Holmgren,R,DEN,,M
Haydn Lewis,L,BAR,,M
Lucia Peyre,,ARG,,F
Angeles Maria Cueto,,ARG,,F
Lourdes Ayala,,ARG,,F
Carolina Coletti,,ARG,,F
Martina Belen Roldan Santander,,ARG,,F
Luana Plaza Araujo,,BRA,,F
Valentina Urraco,,ARG,,F
Luisina Giovannini,,ARG,,F
Tania Sfilio,,ARG,,F
Sofia Vivas,,ARG,,F
Martina Marusinova,,SVK,,F
Mavie Osterreicher,,AUT,,F
Sara Suchankova,,SVK,,F
Barbara Dessolis,R,ITA,,F
Anet Angelika Koskel,,EST,,F
Adele Burato,,ITA,,F
Laura Pasterk,,AUT,,F
Nikol Palecek,,SRB,,F
Mia Mack,,GER,,F
Arianna Zucchini,R,ITA,,F
Lara Pfeifer,,ITA,,F
Elena Karner,,AUT,,F
Nadja Ramskogler,,AUT,,F
Sophie Greiner,,GER,,F
Nina Radovanovic,,FRA,,F
Berta Bonardi,,ARG,,F
Chloe Noel,,FRA,,F
Eloise De Mooij,,NED,,F
Flavie Brugnone,R,FRA,,F
Cecilie Wiche,,DEN,,F
Maria Jose Zehnder,,ARG,,F
Laura Boehner,,GER,,F
Cosima Trinity Calinescu,,FRA,,F
Cristine Tchanichev,,BEL,,F
Klara Veldman,,NED,,F
Annika Barth,,NED,,F
Gigi Sy A Foek,,NED,,F
Alyssa Reguer,,FRA,,F
Daliyah Hammoud,,FIN,,F
Izabelle Persson,,SWE,,F
Mathilde Lollia,,FRA,,F
Annemarie Lazar,,DEU,,F
Florence Fohnen,,BEL,,F
Chiara Tomasetti,,DEU,,F
Anika Jaskova,R,SVK,,F
Yvonna Zuffova,,SVK,,F
Jelena Ristic,,AUT,,F
Mia Ristic,,SRB,,F
Bianca Elena Barbulescu,,ROU,,F
Senka Deletic,R,SRB,,F
Marie Svozilova,,CZE,,F
Amila Jusufbegovic,,BIH,,F
Andreea Alexandra Lila,,ROU,,F
Anastasiya Kuparev,,GER,,F
Andjela Lopicic,,SRB,,F
Fatma Idrizovic,,SRB,,F
Petra Marcinko,,CRO,,F
Tara Wurth,,CRO,,F
Natalia Szabanin,L,HUN,,F
Xenia Lipiec,,POL,,F
Sophie Luescher,,SUI,,F
Ema Bubalo,,CRO,,F
Anaelle Leclercq,,FRA,,F
Lucia Pinkova,,SVK,,F
Lucija Ciric Bagaric,,CRO,,F
Nelly Knezkova,,CZE,,F
Jana Vanik,,GER,,F
Martina Husarova,,SVK,,F
Adela Moravcova,,CZE,,F
Denise Hrdinkova,,CZE,,F
Sara Bejlek,,CZE,,F
Dominika Salkova,,CZE,,F
Julie Struplova,,CZE,,F
Linda Klimovicova,,CZE,,F
Nina Vargova,,SVK,,F
Barbora Palicova,R,CZE,,F
Sujeong Jang,,KOR,,F
Anastasiya Konstantinovna Soboleva,,UKR,,F
Mia Chudejova,,SVK,,F
Maria Bondarenko,R,RUS,,F
Johanne Christine Svendsen,,DEN,,F
Dimitra Tsatsa,,GER,,F
Vanda Vargova,,SVK,,F
Vanessa Ersoz,R,SWE,,F
Sarafina Olivia Hansen,,DEN,,F
Penelope Abreu,,DOM,,F
Maria Castano,,ESP,,F
Ana Julissa De Mata,,DOM,,F
Isabella Pita,,ECU,,F
Elena Grekul,,UKR,,F
Hana Mortagy,R,EGY,,F
Malak Naim,,EGY,,F
Briana Szabo,,ROU,,F
Nouray Metwally,,EGY,,F
Maria Del Mar Gabriela Sanchez Ramirez,,MEX,,F
Mariam Samy,,EGY,,F
Renad Ayman Maamoun,,EGY,,F
Kenzy Sherif Elhamrawy,,EGY,,F
Shahd Habib,,EGY,,F
Aya El Aouni,,MAR,,F
Hams Metwali,,EGY,,F
Mariam Hatem Ibrahim,R,EGY,,F
Jana Elgebily,,EGY,,F
Mai Elkamash,,EGY,,F
Anna Borovinskaya,,USA,,F
Viola Turini,,ITA,,F
Farah Haitham Kassem,,EGY,,F
Smriti Bhasin,,IND,,F
Chantal Kamel,,EGY,,F
Nour Hassan Moustafa,,EGY,,F
Layla Shoukry,,EGY,,F
Oriana Parkins Godwin,,GBR,,F
Naroa Aranzabal,,ESP,,F
Ela Platenikova,,SVK,,F
Lina Sarhan,,EGY,,F
Lina Boylan,,USA,,F
Erika Weil,,HUN,,F
Lama Nabil,,EGY,,F
Jana Abdelaziz,,EGY,,F
Sofia Costoulas,,BEL,,F
Jasmine Conway,,GBR,,F
Dasha Plekhanova,,CAN,,F
Amelia Bissett,,GBR,,F
Aleksandra Melnikova,,RUS,,F
Sabine Rutlauka,,LAT,,F
Sara Donnini,,ITA,,F
Maria Mikhailova,,RUS,,F
Saki Imamura,R,JPN,,F
Jenna Defalco,,USA,,F
Elsa Wan,,MAS,,F
Lea Magun,,SUI,,F
Alina Nesmianovych,,UKR,,F
Mariya Dolzhenko,,UKR,,F
Emma Vanderheyden,,BEL,,F
Leyre Romero Gormaz,,ESP,,F
Patricie Kubikova,,CZE,,F
Matilde Magrini,,ITA,,F
Caroline Fawzy,,EGY,,F
Anastasiya Zholdakova,,UKR,,F
Leena Metwally,,EGY,,F
Habiba Elgerby,,EGY,,F
Karolina Novakova,,CZE,,F
Ines Faltinger,,AUT,,F
Hania Abouelsaad,,EGY,,F
Alexandra Melnikova,,CZE,,F
Yvette Schmucker,,GER,,F
Mariam Karadzhaeva,,RUS,,F
Rachel Zipfel,,GER,,F
Anastasija Radojevic,,SRB,,F
Clervie Ngounoue,,USA,,F
Mariam Mahmoud,,EGY,,F
Jermine Sherif,,EGY,,F
Chiara Fornasieri,,ITA,,F
Malak Arafat,,EGY,,F
Yusra Hegy,,EGY,,F
Kenzy Ramy,R,EGY,,F
Jana Elagamy,,EGY,,F
Dana Mousa,,EGY,,F
Rawan Abdelaziz,,EGY,,F
Login Khairy,,EGY,,F
Victoria Jimenez Kasintseva,,AND,,F
Karola Suviste,,EST,,F
Berta Miret Avante,,ESP,,F
Ines Costa,,ESP,,F
Jillian Louise Roa,,USA,,F
Helena Mohamed,,FRA,,F
Sarah Iliev,,FRA,,F
Margaux Komano,,FRA,,F
Joanna Tomera,,FRA,,F
Noemi Basiletti,,ITA,,F
Raquel Caballero Chica,,ESP,,F
Gloria Alogo Piqueras,,ESP,,F
Lojan Shaker,,GBR,,F
Lucia Llinares Domingo,R,ESP,,F
Irene Fuster Hidalgo,,ESP,,F
Cristina Diaz Adrover,,ESP,,F
Anna Paradisi,,ITA,,F
Maria Garcia Cid,,ESP,,F
Anna Wise,,RSA,,F
Maria Dolores Lopez Martinez,,ESP,,F
Carmen Lopez Martinez,,ESP,,F
Nataly Miroslavova Ninova,,ESP,,F
Maria Dzemeshkevich,,RUS,,F
Judith Hernandez Miranda,,ESP,,F
Angelina Wirges,,GER,,F
Laura Garcia Astudillo,,ESP,,F
Shanice Roignot,,FRA,,F
Carolin Raschdorf,,GER,,F
Eun Ji Lee,,KOR,,F
Sopiko Tsitskishvili,,GEO,,F
Amanda Montes Khaghani,,ESP,,F
Judith Perello Saavedra,,ESP,,F
Andrea Burguete Beltran,,ESP,,F
Maria Martinez Vaquero,,ESP,,F
Vitoria Solis Urdiales,,ESP,,F
Elizabeth Jurna,,EST,,F
Noelia Zeballos Melgar,,BOL,,F
Ana Martinez Vaquero,,ESP,,F
Rinon Okuwaki,,JPN,,F
Maialen Morante Oyague,,ESP,,F
Ariadna Briones Ginesta,,ESP,,F
Laia Giralt,,ESP,,F
Maria Andrienko,,RUS,,F
Anna Sofia Haseth,R,NOR,,F
Claudia De Las Heras Armenteras,,ESP,,F
Jordina Cegarra Ramirez,,ESP,,F
Marina De Diego Quinones,,ESP,,F
Lucia Conde Zalona,,ESP,,F
Lucia Krivosudska,,SVK,,F
Ksenia San Luis Kravtseva,,ESP,,F
Maria Fernanda Navarro,,MEX,,F
Erica Oosterhout,,USA,,F
Tamara Kostic,,AUT,,F
Claudia Martinez De Velasco,,ESP,,F
Alicia Melosch,,GER,,F
Lola Diaz Gonzalez,,ESP,,F
Aglaya Zaynieva,,RUS,,F
Lucia Martinez Gomez,,ESP,,F
Julieta Honrubia Andrino,,ESP,,F
Heta Nuutinen,,FIN,,F
Serena Hatakka,,FIN,,F
Marissa Minetti,,FIN,,F
Paula Susanna Joukanen,,FIN,,F
Valeriia Krokhotina,,RUS,,F
Clarissa Blomqvist,,FIN,,F
Daria Shalamanova,,BUL,,F
Helene Kereselidze,,FRA,,F
Esther Bataille,,FRA,,F
Thessy Ntondele Zinga,,FRA,,F
Jade Marie,,FRA,,F
Zoe Billon,,FRA,,F
Constance Levivier,,FRA,,F
Caroline Vernet,,FRA,,F
Astrid Cirotte,,FRA,,F
Greta Schieroni,,ITA,,F
Lola Marandel,,FRA,,F
Rebecca Amerio,,ITA,,F
Tara Zoppas,,FRA,,F
Noemie Oliveras,,FRA,,F
Clarisse Aussert,,FRA,,F
Hanna Bougouffa,,FRA,,F
Tiantsoa Sarah Rakotomanga Rajaonah,,FRA,,F
Maria Sholokhova,,RUS,,F
Kristine Nanava,,GEO,,F
Alina Trynkina,,RUS,,F
Elizaveta Morozova,,RUS,,F
Lizi Dolidze,,GEO,,F
Anamaria Kurtsikashvili,,GEO,,F
