tourney_id,sex,draw_size,tourney_level
2019-M015,M,32.0,A
2019-M015,F,64.0,PM
2019-0329,M,32.0,A
2019-5014,M,64.0,M
2019-7485,M,32.0,A
2019-M014,M,32.0,A
2019-M014,F,32.0,I
2019-0429,M,32.0,A
2019-0328,M,32.0,A
2019-0337,M,32.0,A
2019-0352,M,64.0,M
2019-0605,M,8.0,F
2019-M-DC-2019-FLS-A-M-FRA-JPN-01,M,4.0,D
2019-M-DC-2019-FLS-A-M-FRA-SRB-01,M,4.0,D
2019-M-DC-2019-FLS-A-M-SRB-JPN-01,M,4.0,D
2019-M-DC-2019-FLS-B-M-CRO-ESP-01,M,4.0,D
2019-M-DC-2019-FLS-B-M-CRO-RUS-01,M,4.0,D
2019-M-DC-2019-FLS-B-M-ESP-RUS-01,M,4.0,D
2019-M-DC-2019-FLS-C-M-ARG-CHI-01,M,4.0,D
2019-M-DC-2019-FLS-C-M-ARG-GER-01,M,4.0,D
2019-M-DC-2019-FLS-C-M-GER-CHI-01,M,4.0,D
2019-M-DC-2019-FLS-D-M-AUS-COL-01,M,4.0,D
2019-M-DC-2019-FLS-D-M-BEL-AUS-01,M,4.0,D
2019-M-DC-2019-FLS-D-M-BEL-COL-01,M,4.0,D
2019-M-DC-2019-FLS-E-M-GBR-KAZ-01,M,4.0,D
2019-M-DC-2019-FLS-E-M-GBR-NED-01,M,4.0,D
2019-M-DC-2019-FLS-E-M-KAZ-NED-01,M,4.0,D
2019-M-DC-2019-FLS-F-M-ITA-CAN-01,M,4.0,D
2019-M-DC-2019-FLS-F-M-USA-CAN-01,M,4.0,D
2019-M-DC-2019-FLS-F-M-USA-ITA-01,M,4.0,D
2019-M-DC-2019-FLS-M-ARG-ESP-01,M,4.0,D
2019-M-DC-2019-FLS-M-AUS-CAN-01,M,4.0,D
2019-M-DC-2019-FLS-M-CAN-ESP-01,M,4.0,D
2019-M-DC-2019-FLS-M-GBR-ESP-01,M,4.0,D
2019-M-DC-2019-FLS-M-GBR-GER-01,M,4.0,D
2019-M-DC-2019-FLS-M-RUS-CAN-01,M,4.0,D
2019-M-DC-2019-FLS-M-SRB-RUS-01,M,4.0,D
2019-M-DC-2019-G1-AM-M-BRA-BAR-01,M,4.0,D
2019-M-DC-2019-G1-AM-M-DOM-URU-01,M,4.0,D
2019-M-DC-2019-G1-AM-M-ECU-VEN-01,M,4.0,D
2019-M-DC-2019-G1-AO-M-CHN-KOR-01,M,4.0,D
2019-M-DC-2019-G1-AO-M-UZB-LBN-01,M,4.0,D
2019-M-DC-2019-G1-EPA-M-AUT-FIN-01,M,4.0,D
2019-M-DC-2019-G1-EPA-M-CZE-BIH-01,M,4.0,D
2019-M-DC-2019-G1-EPA-M-HUN-UKR-01,M,4.0,D
2019-M-DC-2019-G1-EPA-M-POR-BLR-01,M,4.0,D
